trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
51,0,51,0,10,136.94044970022514,136.94044970022514,0.13253370020538568,138.00656110001728,[0.034722222222222224],[-0.10532407407407407],[1],[0],[0],[1.7351638998370618],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
52,0,52,0,10,138.73807439999655,138.73807439999655,0.09113939991220832,139.75399080011994,[0.2638888888888889],[-0.06712962962962964],[1],[0],[0],[1.9764097998850048],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
53,0,53,0,10,140.80280570010655,140.80280570010655,0.07707190001383424,141.85258490010165,[0.10185185185185185],[0.49421296296296297],[1],[0],[0],[2.875536600127816],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
54,0,54,0,10,143.7833571000956,143.7833571000956,0.090285399928689,144.816492700018,[-0.25],[-0.3888888888888889],[1],[0],[0],[2.2788001999724656],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
55,0,55,0,5,146.14806530019268,146.14806530019268,0.06092619989067316,147.16961150011048,[0.24189814814814814],[0.1840277777777778],[1],[0],[0],[2.8258113998454064],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
56,0,56,0,10,149.06174760009162,149.06174760009162,0.08589820004999638,150.11151360021904,[0.3506944444444444],[0.45949074074074076],[1],[0],[0],[2.479962799930945],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
57,0,57,0,5,151.6257969001308,151.6257969001308,0.06471400009468198,152.64326900010929,[0.03819444444444445],[0.18055555555555555],[1],[0],[0],[1.7709096998441964],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
58,0,58,0,5,153.47432680008933,153.47432680008933,0.06742440001107752,154.5087751999963,[-0.4537037037037037],[0.48032407407407407],[1],[0],[0],[1.9680017000064254],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
59,0,59,0,10,155.60644710017368,155.60644710017368,0.12284699990414083,156.65549420006573,[0.16435185185185186],[0.41898148148148145],[1],[0],[0],[2.444113800069317],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
60,0,60,0,5,158.0865101001691,158.0865101001691,0.0600362999830395,159.10323540004902,[-0.28703703703703703],[0.09143518518518519],[1],[0],[0],[1.5381909001152962],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
61,0,61,0,5,159.6851226000581,159.6851226000581,0.04813480004668236,160.7021900000982,[-0.3055555555555556],[-0.12384259259259259],[1],[0],[0],[1.721049799816683],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
62,0,62,0,5,161.58463530009612,161.58463530009612,0.14340039994567633,162.60521540022455,[-0.05324074074074074],[-0.16782407407407407],[1],[0],[0],[1.9411045000888407],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
63,0,63,0,5,163.58142980001867,163.58142980001867,0.06089779990725219,164.598296900047,[-0.18287037037037038],[0.1076388888888889],[1],[0],[0],[1.5562110000755638],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
64,0,64,0,5,165.21333090006374,165.21333090006374,0.0607292999047786,166.22994340001605,[0.3090277777777778],[0.07291666666666667],[1],[0],[0],[1.5432317000813782],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
65,0,65,0,10,166.8616790000815,166.8616790000815,0.09416239988058805,167.894868100062,[-0.037037037037037035],[-0.03935185185185185],[1],[0],[0],[1.8759512000251561],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
66,0,66,0,5,168.82669160002843,168.82669160002843,0.0599072000477463,169.84323250013404,[0.4444444444444444],[0.20601851851851852],[1],[0],[0],[1.7609290999826044],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
67,0,67,0,5,170.65822690003552,170.65822690003552,0.06772960000671446,171.69250070001,[0.30324074074074076],[0.06365740740740741],[1],[0],[0],[1.4326101997867227],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
68,0,68,0,10,172.17343090008944,172.17343090008944,0.06950949993915856,173.22321730013937,[0.35532407407407407],[0.3055555555555556],[1],[0],[0],[1.5825973998289555],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
69,0,69,0,10,173.8551653001923,173.8551653001923,0.08300169999711215,174.92230330011807,[0.15625],[0.09259259259259259],[1],[0],[0],[1.5033968999050558],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
70,0,70,0,10,175.4703829002101,175.4703829002101,0.0992465999443084,176.50369330006652,[0.020833333333333332],[-0.29050925925925924],[1],[0],[0],[2.0893278000876307],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
71,0,71,0,5,177.6017630000133,177.6017630000133,0.04005649988539517,178.63509590015747,[0.3263888888888889],[0.47800925925925924],[1],[0],[0],[3.4647325999103487],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
72,0,72,0,10,181.14832520019263,181.14832520019263,0.07743270020000637,182.21510060015135,[-0.2916666666666667],[0.15393518518518517],[1],[0],[0],[1.8889716998673975],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
73,0,73,0,5,183.12986580003053,183.12986580003053,0.06097740004770458,184.16464350000024,[-0.3275462962962963],[0.2349537037037037],[1],[0],[0],[2.4598173000849783],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
74,0,74,0,10,185.67744120000862,185.67744120000862,0.08890280011110008,186.74401590018533,[0.2824074074074074],[0.48726851851851855],[1],[0],[0],[4.050125100184232],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
75,0,75,0,5,189.8070704001002,189.8070704001002,0.06205389997921884,190.8408487001434,[-0.05787037037037037],[0.1388888888888889],[1],[0],[0],[1.7031826998572797],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
76,0,76,0,10,191.63852570019662,191.63852570019662,0.1259433999657631,,[-0.018518518518518517],[0.4826388888888889],[1],[0],[0],[0.9236961000133306],[],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
77,0,77,0,10,192.67114420002326,192.67114420002326,0.09472030005417764,193.7542595001869,[0.4224537037037037],[0.2465277777777778],[1],[0],[0],[1.6568090000655502],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
78,0,78,0,5,194.42036410002038,194.42036410002038,0.06595640000887215,195.46954380022362,[0.42592592592592593],[-0.23032407407407407],[1],[0],[0],[2.1020600001793355],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
79,0,79,0,10,196.76791730010882,196.76791730010882,0.2117101999465376,197.80045990017243,[0.18055555555555555],[-0.4722222222222222],[1],[0],[0],[2.4901399000082165],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
80,0,80,0,5,199.29807460005395,199.29807460005395,0.06251309998333454,200.3317832001485,[-0.22800925925925927],[0.02662037037037037],[1],[0],[0],[2.3394241998903453],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
81,0,81,0,5,201.7464733000379,201.7464733000379,0.08577229990623891,202.7790579001885,[-0.02546296296296296],[0.1111111111111111],[1],[0],[0],[1.7655938998796046],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
82,0,82,0,10,203.61067440011539,203.61067440011539,0.08806079998612404,204.64384870021604,[-0.2175925925925926],[-0.34837962962962965],[1],[0],[0],[1.8653984998818487],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
83,0,83,0,10,205.59212670009583,205.59212670009583,0.10160750010982156,206.6256432000082,[-0.024305555555555556],[0.020833333333333332],[1],[0],[0],[2.322069799993187],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
84,0,84,0,5,207.99077330017462,207.99077330017462,0.06347759999334812,209.04065229999833,[-0.2037037037037037],[0.4976851851851852],[1],[0],[0],[3.049104700097814],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
85,0,85,0,10,211.1204863002058,211.1204863002058,0.0766994000878185,212.1535166001413,[0.42939814814814814],[-0.3263888888888889],[1],[0],[0],[2.28796900017187],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
86,0,86,0,5,213.48468180000782,213.48468180000782,0.06257140007801354,214.51834420021623,[0.006944444444444444],[0.45949074074074076],[1],[0],[0],[2.032399500021711],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
87,0,87,0,10,215.6328291001264,215.6328291001264,0.0952518000267446,216.665892300196,[0.20023148148148148],[0.40162037037037035],[1],[0],[0],[2.4219247999135405],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
88,0,88,0,10,218.1470572000835,218.1470572000835,0.0968359000980854,219.1972861001268,[-0.041666666666666664],[-0.2800925925925926],[1],[0],[0],[2.57147610001266],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
89,0,89,0,5,220.79449120000936,220.79449120000936,0.05879000015556812,221.81145720020868,[0.3611111111111111],[-0.1597222222222222],[1],[0],[0],[2.016296099871397],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
90,0,90,0,5,222.8760083001107,222.8760083001107,0.061982000013813376,223.9263332001865,[0.10416666666666667],[-0.42824074074074076],[1],[0],[0],[2.0340171998832375],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
91,0,91,0,5,225.01261680014431,225.01261680014431,0.06519130012020469,226.09271760005504,[0.42824074074074076],[0.3055555555555556],[1],[0],[0],[2.5521987001411617],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
92,0,92,0,5,227.62144290003926,227.62144290003926,0.060327099869027734,228.63818440004252,[0.046296296296296294],[0.3587962962962963],[1],[0],[0],[1.5450744000263512],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
93,0,93,0,10,229.30336090014316,229.30336090014316,0.10111530008725822,230.31915350002237,[0.4351851851851852],[-0.023148148148148147],[1],[0],[0],[1.770268299849704],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
94,0,94,0,5,231.15288960002363,231.15288960002363,0.05440739984624088,232.1851604001131,[0.0625],[-0.4930555555555556],[1],[0],[0],[2.2931953000370413],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
95,0,95,0,5,233.482689200202,233.482689200202,0.059016500134021044,234.5159715001937,[-0.024305555555555556],[-0.48032407407407407],[1],[0],[0],[3.258676999947056],['target'],trial200,001,2023-09-26_21h25.55.397,tutorial3,2023.1.3,60.049384598455156,
