pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-150,z,36,3,147,3,,,,,429.1345448999782,430.1333457999863,430.1333457999863,430.1333457999863,430.1333457999863,430.16662759997416,431.1327921000193,431.1327921000193,z,1,0.38955979997990653,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-50,x,37,0,148,0,,,,,431.56600819999585,432.5650231000036,432.5650231000036,432.5650231000036,432.5650231000036,432.5977760999813,433.5635417000158,433.5635417000158,x,1,0.06757850002031773,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
150,v,37,1,149,1,,,,,433.6640619999962,434.6627485000063,434.6627485000063,434.6627485000063,434.6627485000063,434.69640730001265,435.6613130000187,435.6613130000187,v,1,0.4755725000286475,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
50,c,37,2,150,2,,,,,436.19438689999515,437.19337809999706,437.19337809999706,437.19337809999706,437.19337809999706,437.2265311999945,438.19254680001177,438.19254680001177,c,1,0.3039246000116691,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-150,z,37,3,151,3,,,,,438.55934580002213,439.55807979998644,439.55807979998644,439.55807979998644,439.55807979998644,439.5910828000051,440.5570473999833,440.5570473999833,z,1,0.3638771999976598,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-50,x,38,0,152,0,,,,,440.95645260001766,441.95621039997786,441.95621039997786,441.95621039997786,441.95621039997786,441.98885209998116,442.95481379999546,442.95481379999546,x,1,0.2834473000257276,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
150,v,38,1,153,1,,,,,443.28663530002814,444.28690409997944,444.28690409997944,444.28690409997944,444.28690409997944,444.3202397999703,445.30361730000004,445.30361730000004,v,1,0.31506110000191256,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
50,c,38,2,154,2,,,,,445.6580918999971,446.6516399999964,446.6516399999964,446.6516399999964,446.6516399999964,446.6845013999846,447.6843510000035,447.6843510000035,c,1,0.5262548999744467,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-150,z,38,3,155,3,,,,,448.2496786999982,449.2489085000125,449.2489085000125,449.2489085000125,449.2489085000125,449.2827469999902,450.248063099978,450.248063099978,z,1,0.4485963999759406,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
-50,x,39,0,156,0,,,,,450.74750759999733,451.7468709999812,451.7468709999812,451.7468709999812,451.7468709999812,451.7801560999942,452.74589309998555,452.74589309998555,x,1,0.2441341999801807,None,400trials,001,2023-10-17_19h33.01.535,sequentialearning,2023.1.3,60.10995313077554,
